"","ID","Case Number","Date","Block","IUCR","Primary Type","Description","Location Description","Arrest","Domestic","Beat","District","Ward","Community Area","FBI Code","X Coordinate","Y Coordinate","Year","Updated On","Latitude","Longitude","Location"
"8418",10863163,"JA169573","02/28/2017 04:20:00 AM","074XX N WESTERN AVE","1310","CRIMINAL DAMAGE","TO PROPERTY","BAR OR TAVERN","false","false","2411","024",50,2,"14",1159016,1949462,2017,"03/07/2017 03:54:38 PM",42.017056516,-87.690198286,"(42.017056516, -87.690198286)"
"8419",10371504,"HZ106988","01/07/2016 09:11:00 AM","052XX W MADISON ST","0860","THEFT","RETAIL THEFT","CONVENIENCE STORE","true","false","1522","015",28,25,"06",1141512,1899523,2016,"01/15/2016 12:18:25 PM",41.880362084,-87.755847438,"(41.880362084, -87.755847438)"
"8420",1591499,"G356853","06/19/2001 12:30:00 AM","020XX W DIVERSEY AV","031A","ROBBERY","ARMED: HANDGUN","TAXICAB","false","false","1913","019",NA,NA,"03",1162521,1918555,2001,"08/17/2015 03:03:40 PM",41.932173466,-87.678170567,"(41.932173466, -87.678170567)"
"8421",6533210,"HP604133","10/01/2008 09:19:00 PM","054XX S ELLIS AVE","031A","ROBBERY","ARMED: HANDGUN","SIDEWALK","true","false","2131","002",4,41,"03",1183866,1869653,2008,"02/04/2016 06:33:39 AM",41.79750964,-87.601263977,"(41.79750964, -87.601263977)"
"8422",2480752,"HH783034","11/16/2002 10:57:27 AM","006XX E PERSHING RD","0460","BATTERY","SIMPLE","CHA PARKING LOT/GROUNDS","false","false","0212","002",4,36,"08B",1181055,1879249,2002,"04/15/2016 08:55:02 AM",41.823907069,-87.611276547,"(41.823907069, -87.611276547)"
"8423",5718868,"HN526955","08/13/2007 10:30:00 AM","019XX W 103RD ST","0890","THEFT","FROM BUILDING","OTHER","false","false","2212","022",19,72,"06",1165331,1836362,2007,"04/15/2016 08:55:02 AM",41.706567436,-87.670175387,"(41.706567436, -87.670175387)"
"8424",7758828,"HS562455","10/13/2010 06:00:00 PM","0000X E JACKSON BLVD","0810","THEFT","OVER $500","CTA TRAIN","false","false","0123","001",2,32,"06",1176528,1899005,2010,"02/04/2016 06:33:39 AM",41.878222138,-87.627288482,"(41.878222138, -87.627288482)"
"8425",4397264,"HL692352","10/23/2005 07:00:00 PM","044XX N HAZEL ST","0810","THEFT","OVER $500","STREET","false","false","2313","019",46,3,"06",1169462,1929622,2005,"04/15/2016 08:55:02 AM",41.962393372,-87.652340314,"(41.962393372, -87.652340314)"
"8426",9134323,"HW278897","05/13/2013 01:15:00 AM","027XX N LAMON AVE","1320","CRIMINAL DAMAGE","TO VEHICLE","STREET","false","false","2521","025",31,19,"14",1143255,1917593,2013,"02/04/2016 06:33:39 AM",41.929915807,-87.748995259,"(41.929915807, -87.748995259)"
"8427",7881927,"HS678417","12/24/2010 10:00:00 AM","017XX W LUNT AVE","0910","MOTOR VEHICLE THEFT","AUTOMOBILE","STREET","false","false","2424","024",49,1,"07",1163051,1946542,2010,"02/04/2016 06:33:39 AM",42.008959822,-87.675433091,"(42.008959822, -87.675433091)"
"8428",4893417,"HM508834","07/30/2006 12:00:00 PM","080XX S MARSHFIELD AVE","2820","OTHER OFFENSE","TELEPHONE THREAT","RESIDENCE","false","true","0611","006",21,71,"26",1166739,1851433,2006,"04/15/2016 08:55:02 AM",41.747894679,-87.664590559,"(41.747894679, -87.664590559)"
"8429",3302663,"HK336878","04/29/2004 12:30:00 AM","116XX S STATE ST","0890","THEFT","FROM BUILDING","RESIDENCE","false","false","0522","005",34,53,"06",1178341,1827629,2004,"04/15/2016 08:55:02 AM",41.682318023,-87.62279716,"(41.682318023, -87.62279716)"
"8430",2121779,"HH360153","05/08/2002 05:00:00 PM","023XX N MILWAUKEE AVE","1310","CRIMINAL DAMAGE","TO PROPERTY","PARKING LOT/GARAGE(NON.RESID.)","false","false","1414","014",35,22,"14",1156620,1915710,2002,"04/15/2016 08:55:02 AM",41.924488265,-87.699933231,"(41.924488265, -87.699933231)"
"8431",4392226,"HL684277","10/20/2005 08:30:00 AM","030XX S DR MARTIN LUTHER KING JR DR","0460","BATTERY","SIMPLE","SCHOOL, PUBLIC, BUILDING","false","false","2112","001",2,35,"08B",1179306,1885032,2005,"04/15/2016 08:55:02 AM",41.839816207,-87.617516172,"(41.839816207, -87.617516172)"
"8432",10107454,"HY295662","06/10/2015 04:44:00 PM","003XX S CICERO AVE","1811","NARCOTICS","POSS: CANNABIS 30GMS OR LESS","SIDEWALK","true","false","1533","015",24,25,"18",1144438,1898165,2015,"08/17/2015 03:03:40 PM",41.876581037,-87.745137513,"(41.876581037, -87.745137513)"
"8433",10045503,"HY233981","04/23/2015 07:45:00 PM","061XX N KENMORE AVE","051A","ASSAULT","AGGRAVATED: HANDGUN","ALLEY","true","false","2433","024",48,77,"04A",1168128,1940939,2015,"08/17/2015 03:03:40 PM",41.993476518,-87.656916315,"(41.993476518, -87.656916315)"
"8434",3716359,"HK820303","12/21/2004 03:35:31 AM","018XX S WENTWORTH AVE","1360","CRIMINAL TRESPASS","TO VEHICLE","VEHICLE NON-COMMERCIAL","true","false","2111","009",25,34,"26",1175346,1891179,2004,"04/15/2016 08:55:02 AM",41.85677368,-87.631863279,"(41.85677368, -87.631863279)"
"8435",4622204,"HM219686","03/07/2006 06:00:00 PM","057XX N SPAULDING AVE","0920","MOTOR VEHICLE THEFT","ATT: AUTOMOBILE","STREET","false","false","1711","017",40,13,"07",1153344,1937827,2006,"04/15/2016 08:55:02 AM",41.985244591,-87.711380912,"(41.985244591, -87.711380912)"
"8436",10408796,"HZ144982","02/08/2016 05:43:00 PM","045XX W FULLERTON AVE","0530","ASSAULT","AGGRAVATED: OTHER DANG WEAPON","STREET","false","false","2521","025",31,20,"04A",1145726,1915572,2016,"02/15/2016 03:50:01 PM",41.924323419,-87.739966277,"(41.924323419, -87.739966277)"
"8437",10449585,"HZ188808","03/15/2016 11:49:00 PM","007XX E 83RD ST","0610","BURGLARY","FORCIBLE ENTRY","OTHER","false","false","0631","006",6,44,"05",1182428,1850115,2016,"03/22/2016 03:52:15 PM",41.743928954,-87.607142233,"(41.743928954, -87.607142233)"
"8438",2687374,"HJ309522","04/18/2003 04:00:00 PM","005XX W OAKDALE AVE","0610","BURGLARY","FORCIBLE ENTRY","APARTMENT","false","false","2333","019",44,6,"05",1172061,1919857,2003,"04/15/2016 08:55:02 AM",41.935540811,-87.643074038,"(41.935540811, -87.643074038)"
"8439",6402348,"HP484452","07/30/2008 06:40:00 PM","002XX W 87TH ST","0860","THEFT","RETAIL THEFT","SMALL RETAIL STORE","false","false","0634","006",21,44,"06",1176454,1847227,2008,"02/04/2016 06:33:39 AM",41.73614018,-87.62911796,"(41.73614018, -87.62911796)"
"8440",4825609,"HM439429","06/26/2006 10:00:00 PM","006XX N CLARK ST","0810","THEFT","OVER $500","STREET","false","false","1832","018",42,8,"06",1175417,1904843,2006,"04/15/2016 08:55:02 AM",41.894266947,-87.631192386,"(41.894266947, -87.631192386)"
"8441",7294574,"HR711618","12/25/2009 06:00:00 AM","060XX S DREXEL AVE","0910","MOTOR VEHICLE THEFT","AUTOMOBILE","STREET","false","false","2133","002",20,42,"07",1183047,1865065,2009,"02/04/2016 06:33:39 AM",41.784938875,-87.604409985,"(41.784938875, -87.604409985)"
"8442",5225710,"HN107632","01/02/2007 12:01:00 AM","045XX N CAMPBELL AVE","1310","CRIMINAL DAMAGE","TO PROPERTY","SCHOOL, PUBLIC, GROUNDS","false","false","1911","019",47,4,"14",1158887,1930090,2007,"04/15/2016 08:55:02 AM",41.96390163,-87.691207465,"(41.96390163, -87.691207465)"
"8443",8808011,"HV481467","09/18/2012 05:00:00 PM","096XX S HALSTED ST","1121","DECEPTIVE PRACTICE","COUNTERFEITING DOCUMENT","RESTAURANT","false","false","2223","022",21,73,"10",1172676,1840913,2012,"02/04/2016 06:33:39 AM",41.718897681,-87.643144657,"(41.718897681, -87.643144657)"
"8444",1788378,"G607401","09/09/2001 08:30:00 PM","026XX W VAN BUREN ST","0460","BATTERY","SIMPLE","APARTMENT","true","false","1125","011",NA,NA,"08B",1158572,1898099,2001,"08/17/2015 03:03:40 PM",41.876122404,-87.693243551,"(41.876122404, -87.693243551)"
"8445",9782843,"HX432059","09/15/2014 06:00:00 PM","031XX S LAKE SHORE DR SB","0810","THEFT","OVER $500","OTHER","false","false","0211","002",4,35,"06",1181792,1884347,2014,"02/04/2016 06:33:39 AM",41.837879307,-87.608414956,"(41.837879307, -87.608414956)"
"8446",3247979,"HK272437","03/30/2004 05:25:00 PM","009XX W CHICAGO AVE","031A","ROBBERY","ARMED: HANDGUN","ANIMAL HOSPITAL","false","false","1323","012",27,24,"03",1169716,1905545,2004,"04/15/2016 08:55:02 AM",41.896319394,-87.652109777,"(41.896319394, -87.652109777)"
"8447",10965357,"JA287863","06/01/2017 11:45:00 AM","007XX N SACRAMENTO BLVD","0560","ASSAULT","SIMPLE","STREET","false","false","1221","012",27,23,"08A",1156085,1905000,2017,"06/08/2017 03:47:46 PM",41.895109945,-87.702188626,"(41.895109945, -87.702188626)"
"8448",1988612,"HH177589","02/09/2002 07:45:00 PM","057XX S THROOP ST","2027","NARCOTICS","POSS: CRACK","RESIDENCE PORCH/HALLWAY","true","false","0713","007",NA,NA,"18",1168636,1866805,2002,"04/15/2016 08:55:02 AM",41.790036743,-87.657196537,"(41.790036743, -87.657196537)"
"8449",3818974,"HL185342","02/16/2005 07:06:48 PM","086XX S LOOMIS BLVD","0486","BATTERY","DOMESTIC BATTERY SIMPLE","STREET","false","true","0613","006",21,71,"08B",1168508,1847363,2005,"04/15/2016 08:55:02 AM",41.736688114,-87.658225376,"(41.736688114, -87.658225376)"
"8450",22765,"HZ421734","09/05/2016 07:07:00 PM","009XX W 58TH ST","0110","HOMICIDE","FIRST DEGREE MURDER","STREET","false","false","0712","007",16,68,"01A",1171203,1866377,2016,"09/12/2016 03:59:42 PM",41.788806478,-87.647796599,"(41.788806478, -87.647796599)"
"8451",5772391,"HN582424","09/09/2007 10:00:00 PM","099XX S CHARLES ST","0620","BURGLARY","UNLAWFUL ENTRY","RESIDENCE-GARAGE","false","false","2213","022",19,72,"05",1167760,1838742,2007,"04/15/2016 08:55:02 AM",41.713046857,-87.661212418,"(41.713046857, -87.661212418)"
"8452",7758299,"HS566380","10/15/2010 07:15:00 PM","012XX S AVERS AVE","1811","NARCOTICS","POSS: CANNABIS 30GMS OR LESS","SIDEWALK","true","false","1011","010",24,29,"18",1150904,1894241,2010,"02/04/2016 06:33:39 AM",41.865689085,-87.721498922,"(41.865689085, -87.721498922)"
"8453",1995313,"HH183502","02/12/2002 09:04:25 PM","071XX S EMERALD AV","2017","NARCOTICS","MANU/DELIVER:CRACK","SIDEWALK","true","false","0732","007",NA,NA,"18",1172580,1857521,2002,"04/15/2016 08:55:02 AM",41.764474349,-87.643008303,"(41.764474349, -87.643008303)"
"8454",1638063,"G412851","07/14/2001 07:20:00 PM","007XX S PULASKI RD","2027","NARCOTICS","POSS: CRACK","SIDEWALK","true","false","1132","011",NA,NA,"18",1149795,1896337,2001,"08/17/2015 03:03:40 PM",41.871462371,-87.725515674,"(41.871462371, -87.725515674)"
"8455",10445548,"HZ182261","03/03/2016 02:33:00 PM","080XX S PAULINA ST","2825","OTHER OFFENSE","HARASSMENT BY TELEPHONE","RESIDENCE","false","false","0611","006",21,71,"26",NA,NA,2016,"03/12/2016 03:48:36 PM",NA,NA,NA
"8456",9048965,"HW191946","03/06/2013 10:00:00 PM","066XX S JUSTINE ST","0313","ROBBERY","ARMED: OTHER DANGEROUS WEAPON","ALLEY","false","false","0725","007",17,67,"03",1167147,1860794,2013,"02/04/2016 06:33:39 AM",41.773573814,-87.66282815,"(41.773573814, -87.66282815)"
"8457",8792676,"HV465216","09/06/2012 08:00:00 PM","089XX S COTTAGE GROVE AVE","0820","THEFT","$500 AND UNDER","APARTMENT","false","true","0633","006",8,44,"06",1183123,1845996,2012,"02/04/2016 06:33:39 AM",41.732609836,-87.604723492,"(41.732609836, -87.604723492)"
